Title,Info,badgetext,ratingdate,partial_entry,View,Number,Field2,Field3
Eel. I love eel so much.,JennaPrice,91 reviews,"Reviewed December 18, 2014 ",Hard to get good eel unless you want Japanese. Here it's in a soup with pear and cabbage and each flavour separate but working well together. Lively food combinations which probably wouldn't occur to most home cooks but all delicious - plus really great vegetables....More,Date of visit: December 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
An interesting experience,flame1982uk,60 reviews,"Reviewed December 3, 2014 ",We had heard great things about Septime. And there's no doubt flashes of brilliance were evident...the steak tartare at the beginning of the meal was outstanding. As was the delicious bread and warmth and passion of the staff. But of the 7 course set menu...More,,,"<span class=""ui_bubble_rating bubble_30""></span>",
Nice but overrated,Zabapolka,21 reviews,"Reviewed November 18, 2014 ","Second time in this restaurant after a year of absence unfortunatelly disapointed. Warm atmosphere and friendly service, but food very basic. Lack of imagination in creating the dishes, simple although perfectly cooked meat and fish. Not interesting enough to wait two months for the reservation....More",Date of visit: November 2014,,"<span class=""ui_bubble_rating bubble_30""></span>",
Gastronomic tour of Paris,276brucem,86 reviews,"Reviewed November 13, 2014 ","We had dinner at Septime at the beginning of the month as part of a week-long eating tour of Paris to celebrate my brother in law's 60th birthday.  He selected the restaurants and wines, and we went along for the ride. And what a ride...More",Date of visit: November 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Fabulous tasting menu that did not disappoint.,Randall P,76 reviews,"Reviewed November 5, 2014 ",Really enjoyed our experience here. Unique dishes that respected the ingredients without trying too hard! The atmosphere was refreshing too!,Date of visit: October 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"Maybe it was us, not them",butch14nj,96 reviews,"Reviewed October 14, 2014 ","Our lunch at Septime two years ago was fabulous........5 star. This time we booked for dinner. On this night there was no menu to select from because it was ""a special seven course surprise menu"".  No choices just give us what you are allergic to...More",Date of visit: October 2014,2  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Another great meal at Septime,MarieR770,24 reviews,"Reviewed October 11, 2014 ",Some time ago we had dinner at Septime which we thoroughly enjoyed. On this occasion we could not get a booking for dinner but we were lucky enough to get a table for lunch. This was such a good meal – each dish was outstanding....More,Date of visit: September 2014,,"<span class=""ui_bubble_rating bubble_50""></span>",
Another great meal at Septime,MarieR770,24 reviews,"Reviewed October 11, 2014 ",Some time ago we had dinner at Septime which we thoroughly enjoyed. On this occasion we could not get a booking for dinner but we were lucky enough to get a table for lunch. This was such a good meal – each dish was outstanding....More,Date of visit: September 2014,,,
Nice change from typical French food in Paris,StaceySnacks,88 reviews,"Reviewed September 27, 2014 ","We had a lovely lunch last week at Septime.
Not an easy reservation to get, I might add!

We had the 60 euros per person degustation 6 course tasting menu (not including wine) for lunch, which the chef chooses, they do not tell you what...More",Date of visit: September 2014,2  ,,"<span class=""ui_bubble_rating bubble_40""></span>"
Great,JeanV304,125 reviews,"Reviewed September 24, 2014 ","One of the new style of ""bistronomie"" restaurants, very good food in a casual atmosphere, not expensive, young and friendly staff.",Date of visit: June 2014,,"<span class=""ui_bubble_rating bubble_40""></span>",
Disappointing service ruined a nice meal,Isolde L,1 review,"Reviewed September 23, 2014 ","Although the lunch fixed priced menu was a good deal and delicious, service was at times unprofessional and disingenuous. For example, our cutlery was not changed when plates were cleared and no apologies offered when we raised this issue with staff. Our group chose this...More",Date of visit: September 2014,1  ,"<span class=""ui_bubble_rating bubble_20""></span>",
Best restaurant experience in Paris,Eliza D,7 reviews,"Reviewed September 22, 2014 ","I was having a celebratory dinner with a friend, who is a total foodie and picked the restaurant based on excellent reviews. Beyond the food at Septime, which was superb, delicious and inventive, the service was extraordinary. 

It was the best culinary and service experience...More",Date of visit: September 2014,,"<span class=""ui_bubble_rating bubble_50""></span>",
Excellent value for money with great food and attitude,CBRfinediners,54 reviews,"Reviewed September 17, 2014 ",We ate a 3 course menu for lunch and thoroughly enjoyed it as did all other iners around us. Exceptional lunchtime menu at E30 p/p. really pleasant service.,Date of visit: September 2014,,"<span class=""ui_bubble_rating bubble_50""></span>",
Definitely one of the best in Paris!,iashi,63 reviews,"Reviewed September 15, 2014 ","Had dinner twice at Septime and both times, the food was excellent. Different menus but we could taste the consistency and flavours that have made this restaurant popular. Additionally, service was great as the waiters tried their best to speak in a second language. Price-wise,...More",Date of visit: July 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
A faultless experience,Gavin J,1 review,"Reviewed September 9, 2014 ",We were incredibly lucky to get a table at this wonderful restaurant. Our french is poor but every single member of staff was accommodating and spoke perfect English to us. The decor is understated and subtle and the atmosphere was bustling and intimate. We ate...More,Date of visit: September 2014,5  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Great Find,cyt2014,7 reviews,"Reviewed September 3, 2014 ","Had lunch here on our first day in Paris.   We were actually heading to another restaurant, but had heard of Septime in our research for our trip and decided to eat there.  We were not disappointed.  The wait staff was very attentive, and helped us...More",Date of visit: September 2014,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Delicious,Cindy C,22 reviews,"Reviewed August 30, 2014 ","We were able to get a table at lunch the morning of. Food was fresh, interesting and delicious. Really genuine servers, great wines. Favourite dining experience in Paris.",Date of visit: August 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Delicious,Cindy C,22 reviews,"Reviewed August 30, 2014 ","We were able to get a table at lunch the morning of. Food was fresh, interesting and delicious. Really genuine servers, great wines. Favourite dining experience in Paris.",Date of visit: August 2014,1  ,,
big experience,mat k,4 reviews,"Reviewed August 21, 2014 ","a really good moment in this restaurant, amazing invented cooking, good atmosphere and a big winelist with incredible wines, the type of restaurant we need to have more!",Date of visit: June 2014,1  ,,"<span class=""ui_bubble_rating bubble_50""></span>"
So bad !!!,Quentin D,4 reviews,"Reviewed July 28, 2014 ","I had a meeting with many friends in front of the restaurant. I already book by phone 1 week before.
The staff told me, I couldn't seat on a chair...

I don't want to go there anymore !

Food was not fantastic ! I know...More",Date of visit: July 2014,6  ,"<span class=""ui_bubble_rating bubble_20""></span>",
overrated and overpriced,Unparisian,1 review,"Reviewed July 23, 2014 ",It was quite tough to get a reservation (probably a strategy to make the place more sought-after); the restaurant even called beforehand to make sure that we really intended to go. Four of us went for lunch on a summer week day: the restaurant isn't...More,Date of visit: July 2014,5  ,"<span class=""ui_bubble_rating bubble_30""></span>",
allows cell phones,729SSS1970,2 reviews,"Reviewed July 21, 2014 ","We were able to get a reservation three weeks in advance and we would have enjoyed our meal, but as you may know, tables are small and close together in Paris and the couple next to us were on their cell phones the entire time...More",Date of visit: May 2014,1  ,"<span class=""ui_bubble_rating bubble_20""></span>",
Very ambitious. Maybe too.much so.,unloved,20 reviews,"Reviewed July 12, 2014 ","For several weeks before our recent trip to Paris, we attempted to make a reservation at this one Michelin star restaurant. Would you like a table at 9:39 on the third Sunday of the year 2016? How hot can a restaurant be? We eventually gave...More",Date of visit: July 2014,4  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Hype tough to understand,leloir,129 reviews,"Reviewed July 8, 2014 ",Decent food for sure. Ingredients fresh. Preparation fine. But cramped tables. Uncomfortable chairs. Cold reception. Amateur  service. Not sure why so many food writers love this place. Or why the Michelin guide has awarded this place a star. I did not find this place exceptional...More,Date of visit: July 2014,1  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Little Gem,Shanti M,215 reviews,"Reviewed July 2, 2014 ","Great food, wine and service. Limited menu especially for vegetarians or those with allergies. However, the staff were very accommodating. Near the Bastille.",Date of visit: June 2014,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Terrific Farmhouse Vibe-Sophisticated market cuisine,Susan B,2 reviews,"Reviewed June 24, 2014 ","For the quality & price of the meal, couldn't be beat. We're tired of 3* restaurants-this is charming, very fresh market produce, only a couple of choices & either 5 courses at dinner or a choice of 3 or 5 at lunch. Fun vibe, very...More",Date of visit: June 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"Great meal with great value, informal atmosphere, friendly staff",mel7155,552 reviews,"Reviewed June 23, 2014 ","This restaurant is worth the effort to book in advance in terms of value, atmosphere and food.

The downside is the really difficult booking process as well as the difficult to find place. The place is peopled by locals so that indicates good food.

The...More",Date of visit: June 2014,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"Great meal with great value, informal atmosphere, friendly staff",mel7155,552 reviews,"Reviewed June 23, 2014 ","This restaurant is worth the effort to book in advance in terms of value, atmosphere and food.

The downside is the really difficult booking process as well as the difficult to find place. The place is peopled by locals so that indicates good food.

The...More",Date of visit: June 2014,3  ,,
Brilliant meal you shouldn't miss,vwconvdc1195,92 reviews,"Reviewed June 18, 2014 ","The food and service at this restaurant are wonderful. Having been to some of the world's top restaurants, I really think this restaurant deserves the accolades it receives. Yes, the reservation was hard to get but certainly easier at lunchtime (and cheaper). The setting is...More",Date of visit: November 2013,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Focus on Flavors in Beautifully Rustic Setting,dpdes60,10 reviews,"Reviewed June 5, 2014 ","I must admit I was a bit apprehensive of the hype. In addition, the website reservation system is useless. However, all anxiety melted upon entering the rustic and glowing dining room. We were warmly received and true concern for our enjoyment was evidenced by the...More",Date of visit: May 2014,4  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Brilliant modern bistro meal,Tania_Chris,234 reviews,"Reviewed June 4, 2014 ","This is a true modern French bistro. The food is experimental and interesting, whilst at the same time really tasty with many layers of taste and texture. The bread is replenished constantly and you will need it to wipe the juices off the plates! I...More",Date of visit: May 2014,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Fantastic spot! Don't miss this Parisian gem!,martha k,10 reviews,"Reviewed June 3, 2014 ","Best meal we had in Paris! Fantastic lunch, lovely wine pairings and simply marvellous food. Creative, fresh, and perfectly balanced meal. Will definitely return on our next visit!",Date of visit: May 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Amazing colorful tasty meal,PhilippeSunnyMIlliat,14 reviews,"Reviewed May 29, 2014 ","A surprise for your eyes, your nose, and your tongue. Just let it go with the flow. I had the chance to taste creative food, with very fresh quality product and the inspiration of the Chef Bertrand Grebaut.",Date of visit: May 2014,,"<span class=""ui_bubble_rating bubble_50""></span>",
Experience total,Dondanne79,5 reviews,"Reviewed May 25, 2014 ","I Had a recommendation to go to Septime, which I did, everything from decor, staff, food, wine is way above average. Here is a strict line and a clear focus what Septime wants to achieve and they do. There is one set menu at 58...More",Date of visit: April 2014,5  ,"<span class=""ui_bubble_rating bubble_50""></span>",
brilliant,CR80,14 reviews,"Reviewed May 22, 2014 ","Eating ""carte blanche"" is always risky, as they can't always meet everyone's taste. In our case, my wife was overly happy with the menu they served on that evening, while it didn't exactly include my favourites - nevertheless, I very much appreciated its quality and...More",Date of visit: May 2014,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Phenominal,269jimg,86 reviews,"Reviewed May 20, 2014 ","My wife and I enjoy eating, but it is not a passion.  As a result, there are less than a handful of restaurants in the world that we would go out of our way to go back to.  Septime is one of those restaurants.  We...More",Date of visit: May 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Wow,fwv3,73 reviews,"Reviewed May 17, 2014 ","This restaurant deserves all the accolades it gets. The best meal and restaurant experience on this trip. The food, wine, service, staff and ambiance are all stellar. A must go!",Date of visit: May 2014,,"<span class=""ui_bubble_rating bubble_50""></span>",
Wow,fwv3,73 reviews,"Reviewed May 17, 2014 ","This restaurant deserves all the accolades it gets. The best meal and restaurant experience on this trip. The food, wine, service, staff and ambiance are all stellar. A must go!",Date of visit: May 2014,,,
disappointing,adis112014,9 reviews,"Reviewed May 16, 2014 ","booking required generally one month in advance, our expectations were quit high BUT.....
We were very disappointed from the restaurant, Main reasons are: 
- Poor wines list + how can you choose the wine without any hint of what are you going to eat !!...More",Date of visit: May 2014,2  ,,"<span class=""ui_bubble_rating bubble_20""></span>"
Fabulous,Heather2515,4 reviews,"Reviewed May 13, 2014 ",I booked on line 3 weeks ahead for a lunch celebration with my partner and daughter. We all enjoyed our 3 course selection and were grateful to our waiter for suggesting the pork which was outstanding. Portion sizes are generous and at €28 very good...More,Date of visit: May 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
exceptional experience in paris,AHY2014,53 reviews,"Reviewed May 10, 2014 ","came here with some friends as i was told by a friend of the amazing food they served here, and surely enough I was not disappointed. Using a modern approach, they bring fresh ingredients to the table, French of course! The atmosphere was charming and...More",Date of visit: April 2014,2  ,"<span class=""ui_bubble_rating bubble_40""></span>",
excellent modern French,julie f,4 reviews,"Reviewed May 9, 2014 ","As excited as I was to try French food, I was scared of super buttery and heavy sauces, so I went for a more modern approach. Septime is the so-called ""in"" place in Paris for well-done, modern French cuisine and the fun part--the 5 course...More",Date of visit: April 2014,,"<span class=""ui_bubble_rating bubble_50""></span>",
looooooooooooved it,dee622,40 reviews,"Reviewed May 4, 2014 ","hands down our best meal in paris. i had to stalk the reservation system to get a table. first, i speak terrible french and the staff explained everything to me in english. i don't eat dairy and they changed up the recipe for me.  my...More",Date of visit: April 2014,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"Innovative kitchen, charming setting, and superb service for great value",ClintWorldWide,121 reviews,"Reviewed May 2, 2014 ","I used to live in Paris years ago, and when one of my Parisian friends insisted on making a lunch reservation at Septime over a month in advance I wondered what all the fuss was about.  She tends to have good taste, so I went...More",Date of visit: March 2014,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Food excels but attitude disappoints,madisonJL,4 reviews,"Reviewed April 28, 2014 ","We arrived on time for our reservation to a near empty restaurant, finished each course on time, ordered two bottles of wine suggested by the server, and enjoyed an excellent meal. But before we finished our coffee the server delivered the check without being asked....More",Date of visit: April 2014,3  ,"<span class=""ui_bubble_rating bubble_40""></span>",
"Amazing, creative food and excellent service",Mikearmo,29 reviews,"Reviewed April 23, 2014 ","Had a great dinner at Septime for my wife's birthday. I was looking forward to the meal from the moment we booked it and it didn't disappoint. The food was fantastic, each course was completely different to the last, and there were some really interesting...More",Date of visit: April 2014,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Wonderful meal in a great setting,Shelley B,19 reviews,"Reviewed April 15, 2014 ","We were almost afraid, after anticipating our meal at Septime for a few months, that we would be disappointed but the food was sublime, the atmosphere, charming, and the service friendly, but professional and unobtrusive.  Be sure to book ahead and get the address because...More",Date of visit: April 2014,,"<span class=""ui_bubble_rating bubble_50""></span>",
Wonderful meal in a great setting,Shelley B,19 reviews,"Reviewed April 15, 2014 ","We were almost afraid, after anticipating our meal at Septime for a few months, that we would be disappointed but the food was sublime, the atmosphere, charming, and the service friendly, but professional and unobtrusive.  Be sure to book ahead and get the address because...More",Date of visit: April 2014,,,
Lunch with Friends,JoBoLasher,42 reviews,"Reviewed April 15, 2014 ",We booked online as early as was possible on the web site for the three course lunch and confirmed the booking by email three days ahead (for non French speakers this system is very reassuring). The restaurant was most professional and accommodating (our server was...More,Date of visit: April 2014,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Great restaurant (best desserts ever),Jacobo_tbp,15 reviews,"Reviewed April 8, 2014 ","Food is great, and it was a great experience overall.  Things we loved:
1) The kitchen is open, you can see everything that they´re preparing which is awesome
2) Everybody speaks perfect english
3) Food is great but their desserts are out of this world....More",Date of visit: March 2014,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Innovative and delicious!,stingray1224,92 reviews,"Reviewed March 18, 2014 ","Booked online for a special night with my wife about 2 weeks in advance.  Very cool place, nice deco, no sign.  We went in with high expectations of course based on the reviews, awards and hype.  We were not disappointed.  We took the fixed menu...More",Date of visit: March 2014,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Neo Gastro bistro,RemcoD_12,141 reviews,"Reviewed March 13, 2014 ","Bistro style: wooden tables, your cutlery to be kept for your next course,informal well stocked winelist,democratic prices. Fixed menu,2 semi starters,2 deserts.I asked to skip the deserts ( not made by the chef,I am convinced) and add a 3 rd fish course. Yes,they did,an interesting...More",Date of visit: March 2014,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
"excellent value, great service",jameshH9861PP,8 reviews,"Reviewed February 21, 2014 ","bearing in mind that we ate at lastrance 2 nights previously, this was an excellent meal. we had a the set lunch menu which was great value and the service cant be faulted, very relaxed, alot of english speaking to help explain some parts of...More",Date of visit: February 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Go for the five course taster,MattJames355,14 reviews,"Reviewed February 14, 2014 ","What a lovely little restaurant. Somehow we walked straight past it first time, but so so glad we turned round and found it. We must have come right at the start of service. We walked in to an almost empty restaurant and wondered why there...More",Date of visit: February 2014,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Excellent tasting menu,MrsLomax,2 reviews,"Reviewed January 29, 2014 ","Lovely food at Septime, and excellent wine list. We had the five course tasting menu, everything was delicious.",Date of visit: January 2014,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Simple but well done,Abbey S,50 reviews,"Reviewed January 22, 2014 ","Opening Remarks:
-One of the more difficult restaurants to get a reservation (book online at least 2 weeks in advance)
-Currently #49 in the World’s top 50 restaurants
-The current Head Chef is the young Bertrand Grébaut
-Located in the Ledru-Rollin area of Paris

Ambiance:...More",Date of visit: September 2013,6  ,"<span class=""ui_bubble_rating bubble_40""></span>",
First night in Paris and we hit the bulls-eye.,Eli B,"3,623 reviews","Reviewed January 12, 2014 ","Now this is my style of eats in a setting redolent with warmth and modernity, and uncompromising table service and pricing. if you are obsessing over pedigreed ingredients on small plates and love rustic-urban surroundings with food lovers...than you have struck gold.
         We tried the...More",Date of visit: March 2013,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
First night in Paris and we hit the bulls-eye.,Eli B,"3,623 reviews","Reviewed January 12, 2014 ","Now this is my style of eats in a setting redolent with warmth and modernity, and uncompromising table service and pricing. if you are obsessing over pedigreed ingredients on small plates and love rustic-urban surroundings with food lovers...than you have struck gold.
         We tried the...More",Date of visit: March 2013,3  ,,
"always fresh, inventive and delightful",tansyliverwort,44 reviews,"Reviewed December 30, 2013 ","You may have to book months in advance, before you leave home, but it's well worth the effort for the fresh, inventive meals prepared by the staff at this wonderful restaurant",Date of visit: December 2013,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Go With An Open Mind,Nefelokokigia,333 reviews,"Reviewed November 27, 2013 ","The room is completely spare, with off white walls, second hand store furnishings, and a young and hip waitstaff.  The tables are well placed for a touch of privacy (at least compared to most Paris restaurants).  It is very difficult getting a reservation here, so...More",Date of visit: November 2013,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Just go with the flow,antriaboutiquelodge,77 reviews,"Reviewed November 14, 2013 ",We worked hard to get a table at Septime in the end getting a local to book for us but it was worth it. You have the Chef choice menu so great to be taken out of your comfort zone as you have no control...More,Date of visit: October 2013,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Lovely place for lunch,kateoz,104 reviews,"Reviewed November 11, 2013 ","I tried for weeks before my trip to make a lunch reservation, but wasn't successful. Turning up on a Wednesday at 12.15pm, I was offered one of the two seats at the bar. (That's not two available seats; there are ONLY two seats at the...More",Date of visit: October 2013,,"<span class=""ui_bubble_rating bubble_40""></span>",
HIGE EXPECTATIONS,JNBCPT,32 reviews,"Reviewed November 1, 2013 ","After reading many of the reviews here and recommendations on other websites, we decided to celebrate a special occasion in this restaurant.

Reserving a table was not easy . We therefore tried another approach and just stepped in. Staff was very welcoming and tried very...More",Date of visit: October 2013,,"<span class=""ui_bubble_rating bubble_30""></span>",
"Quirky, but not at all bad",Tony R,575 reviews,"Reviewed October 31, 2013 ","Septime is really a very nice restaurant that serves meals that are a little out of the ordinary. Located on a busy street, the restaurant features tables constructed from old wood taken from railway carriages - there's no danger that anything will harm these tables!...More",Date of visit: October 2013,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Delicious and interesting food,Rhonda B,21 reviews,"Reviewed October 23, 2013 ","You have to be quick off the mark to get a booking at Septime 3 weeks in advance, but is worth the effort. The food was interesting, innovative and tasty. Service friendly and attentive and overall, reasonable value for money.",Date of visit: October 2013,,"<span class=""ui_bubble_rating bubble_50""></span>",
Septime Cave - great wine bar,Claire O,4 reviews,"Reviewed October 20, 2013 ","I've never eaten at Septime restaurant. I've heard wonderful things but it's frankly outside my price range. I recently found the gorgeous little cave that accompanies it and now I go there all the time. Nice wine, friendly servers, and small plates of cheese etc...More",Date of visit: October 2013,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Delicious lunch,jwobkk,783 reviews,"Reviewed October 19, 2013 ",Loved the lunch here.  Fresh and delicious food.  Fantastic wines by the bottle and glass.  Passionate service and an attractive setting.  Everything you look for in a great restaurant.,Date of visit: October 2013,,"<span class=""ui_bubble_rating bubble_50""></span>",
Delicious lunch,jwobkk,783 reviews,"Reviewed October 19, 2013 ",Loved the lunch here.  Fresh and delicious food.  Fantastic wines by the bottle and glass.  Passionate service and an attractive setting.  Everything you look for in a great restaurant.,Date of visit: October 2013,,,
On the Mark,TCarrigan,14 reviews,"Reviewed October 10, 2013 ","My wife and I walked in to Septime, and were able to get a table for dinner although this is a talked-about, popular place. It's a reinvention of the bistro with fresh, pure, seasonal ingredients and a fixed menu, five courses for 55 euros. The...More",Date of visit: July 2013,1  ,,"<span class=""ui_bubble_rating bubble_50""></span>"
A house divided,pen1,500 reviews,"Reviewed October 2, 2013 ",I agree with Mark Bitman on one point about Septime. The food preparation and technique are excellent. Beyond that my wife agrees with Bitman in terms of the food. She would rate it 5 stars. I rate it three. My basic problem is I did...More,Date of visit: October 2013,2  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Fantastic experience,AandM2008,63 reviews,"Reviewed September 30, 2013 ",Lunch was a delight. Did not disappoint. Wine and drink pairings were lovely. A very special experience.,Date of visit: September 2013,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Fabulous,Famtime123,3 reviews,"Reviewed September 19, 2013 ","For the moment at least, this is a fabulous restaurant in paris! The atmosphere is that of a modern bistro with understated elegance and beautifully presented food. Fine, well coordinated flavours paired with wonderful wines from smaller less known, but excellent producers of france make...More",Date of visit: September 2013,,"<span class=""ui_bubble_rating bubble_50""></span>",
Delicious!,ClaraJ180,6 reviews,"Reviewed September 19, 2013 ","The squid appetizer was heavenly!  So was the lamb, butternut squash and the herbed ice cream. Would definitely recommend.",Date of visit: September 2013,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Maladeeeeeeeeee :),trailofcrumbs15,152 reviews,"Reviewed September 17, 2013 ","Wow what a surprise. I have been to Le Chateaubriand a while back and was very disappointed. I thought Septime might be similar, but thank God, everything they served was just beautiful. Good service too! Make sure you book in advance to avoid disappointment.",Date of visit: September 2013,2  ,"<span class=""ui_bubble_rating bubble_40""></span>",
A real gastronomic trip,ThMoC,178 reviews,"Reviewed September 14, 2013 ","Septime is this year's restaurant with ""buzz.""  Another highly regarded young chef abandoned the star route of sous chef waiting patiently for the top job to strike out on his own away from the expensive center of town. Consequently, the ambiance, while interesting, is simple...More",Date of visit: September 2013,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Lives up to the hype,rachelnyc60763,56 reviews,"Reviewed September 11, 2013 ","This place is perpetually booked so reserve a few weeks in advance, it is well worth it. The menu changes daily and ingredients were all very fresh and seasonal. I had the tasting menu and everything from the perfectly prepared tuna to the crisp pork...More",Date of visit: May 2013,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Simple french cooking at its best,HappyFeet25,60 reviews,"Reviewed September 8, 2013 ",I had the 3 course lunch for €28. Best value for money meal in Paris. I had a starter of white beans cooked with lard and served with slivers of raw octopus n crunchy seaweed. The taste was really light but beautifully cooked. The salty...More,Date of visit: August 2013,,"<span class=""ui_bubble_rating bubble_40""></span>",
Simple french cooking at its best,HappyFeet25,60 reviews,"Reviewed September 8, 2013 ",I had the 3 course lunch for €28. Best value for money meal in Paris. I had a starter of white beans cooked with lard and served with slivers of raw octopus n crunchy seaweed. The taste was really light but beautifully cooked. The salty...More,Date of visit: August 2013,,,
Wonderful,BrugesBricks,17 reviews,"Reviewed September 8, 2013 ",By happy coincidence this restaurant was across the street from the hotel we stayed in during our trip to Paris. I'd failed to secure a reservation in advance but we asked anyway; there was one table left for the 12.15 lunch slot on the day...More,Date of visit: September 2013,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Fantastic meal,H3117SXmikes,5 reviews,"Reviewed September 3, 2013 ",We loves the surprises that the chef brought us. The food was delicious and plenty of it. The sorbets were the best! The fish soup was incredible.,,,"<span class=""ui_bubble_rating bubble_50""></span>",
Well worth it.,NancyB38,38 reviews,"Reviewed August 5, 2013 ","We were lucky enough to get a Friday lunch reservation at Septime (seriously, this involved calculating what day the Friday slots would come open and then pouncing on the on-line reservation site the minute that happened).  We arrived at 1:30 to discover that the small...More",Date of visit: June 2013,,"<span class=""ui_bubble_rating bubble_50""></span>",
Essential (if you can get a reservation),neilbontoft,25 reviews,"Reviewed July 30, 2013 ",I've had foods of all shapes and standards and Septime is definitely up there with one of the best meals I've had. From arrival I felt relaxed and at home. I was sat with a great view of the kitchen and could see the brigade...More,Date of visit: July 2013,,"<span class=""ui_bubble_rating bubble_50""></span>",
"Very good, not quite great",rumtytum,60 reviews,"Reviewed July 21, 2013 ","Septime came toweringly recommended, almost impossible to get into. The reality is good, but not what the hype led us to expect. Quite simple food, nicely presented, expertly cooked. In a world that extends from McDonalds' sugary rubbish all the way to bistro predictability it's...More",Date of visit: June 2013,,"<span class=""ui_bubble_rating bubble_40""></span>",
Amazing tasting menu in the 11th,bccorb,67 reviews,"Reviewed July 17, 2013 ",I found out about this place from an article in the New York Times so always worry that will cause restaurant to be overrun with other tourists and/or have gone downhill due to that overrun.  I need not have worried as though there were other...More,Date of visit: July 2013,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
delightful lunch,LittleHunter,44 reviews,"Reviewed June 26, 2013 ","We booked in advance and had a wonderful lunch here today. If you're going with someone who doesn't mind giving you a taste of their food and vice versa, then I recommend the 3 course prix-fixe as opposed to the 5 courses where you get...More",Date of visit: June 2013,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
15th wedding anniversary meal,Stephen W,12 reviews,"Reviewed June 24, 2013 ","My goal was to invite my French wife to this neighbourhood hotspot on the 13th of June, our anniversary date, for dinner. This being a very tough table to reserve we had to settle for lunch on the 18th. That was the only negative part...More",Date of visit: June 2013,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Just the kind of food you like to eat and just the type of restaurant you like to eat in,pcouture29,40 reviews,"Reviewed June 20, 2013 ",Despite now being rated one of the best restaurants in the world Septime is an easy going place where you do not need to dress especially well. I recommend dressing your usual stylish way and you'll be okay. Reservations are made on the website and...More,Date of visit: June 2013,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Just the kind of food you like to eat and just the type of restaurant you like to eat in,pcouture29,40 reviews,"Reviewed June 20, 2013 ",Despite now being rated one of the best restaurants in the world Septime is an easy going place where you do not need to dress especially well. I recommend dressing your usual stylish way and you'll be okay. Reservations are made on the website and...More,Date of visit: June 2013,1  ,,
Like a warm hug,gridskipper212,5 reviews,"Reviewed June 20, 2013 ","After being sat without a reservation, something that never happens in paris, (and the restaurant was totally full) we felt special. Even moreso after the soulful tasting menu of the freshest vegetables and fish/meat. We were treated to a special orange wine that was truly...More",Date of visit: May 2013,,,"<span class=""ui_bubble_rating bubble_50""></span>"
A Hot New Restaurant,mjmack08,41 reviews,"Reviewed June 8, 2013 ","We have just discovered Septime, and (if we can ever manage to get reservations again) intend to return.  Very popular--so much so that many simply have given up on getting dinner reservations and go for lunch, which is also a great option, depending on your...More",Date of visit: May 2013,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
