rev_title,author,author_reviews,ratingdate,text,visitdate,likes,rating
Simple but well done,Abbey S,,"Reviewed January 22, 2014 ","Opening Remarks:
-One of the more difficult restaurants to get a reservation (book online at least 2 weeks in advance)
-Currently #49 in the World’s top 50 restaurants
-The current Head Chef is the young Bertrand Grébaut
-Located in the Ledru-Rollin area of Paris

Ambiance:
-Modern Scandanavian with wooden chairs and tables – so rustic and raw I worry my drink may topple if I don’t find a sturdy groove in the table
-It’s buzzing but not so loud I can’t hear my partner or server- actually, if this is loud for Parisians, I think they’d all go deaf after a night out in Toronto
-We were sat at a table right in front of the open kitchen where I had the pleasure of watching a number of female chefs work alongside their male counterparts. How refreshing!
-It’s casual, so really you can wear what you want, though you’ll probably want to brush your hair and put on something cute, because the servers are pretty attractive. The demographic is relatively young and hip, lots of 20-40 year old couples, and a few groups around the round tables as well.

Service:
-The service is casual, but professional. The staff all made convivial conversation (despite having to speak in English to us), made fabulous wine recommendations, and made sure our cutlery and plates were replenished in a timely manner
-The meal moved at a comfortable pace between courses and we were in and out in approximately 1 ½ hours.
-Our main server was wonderful at helping us through the menu, and all of the food runners did their absolute best to explain dishes slowly and in English
-A small problem came when one of the other servers inquired about whether we wanted a cheese course. We were on the fence as we still had two more dishes to go, so he suggested we just get one to share. We agreed to that and soon received the single cheese plate. Following that, however, we started to only get one dish to share- our pre-dessert came and there was only one, and then our main dessert came solo as well. I then asked someone why we were only getting one dish to share when others got one each. Apparently, they misunderstood my request for one add-on cheese course as us now wanting only one dish to share going forward. They offered to bring us the missing two, but we were not going to make a fuss, and in compensation, they comped us the add on cheese.

Drink Menu:
-Wine options are given on a metal slate clipboard and there are far too many pages to flip through
-There is a page worth of wines by the glass and the rest are all sold in bottles – no demis available here
-We start with a recommended bubbly and then at the recommendation of our knowledgeable server, share a bottle of the 2012 La Begou- considering the two of us have very different taste in wine and yet both loved it to bits. Incredibly smooth, well rounded and easy to drink with food.

Food Menu:
-I am not sure if there is usually an a la carte option but on our visit it was strictly Carte Blanche for €58 and the option to add a cheese course for €8 per person
-The food on our visit was light, refreshing and colourful, with a focus on in-season fruits and vegetables
-Presentation is very simple and to the point- it allows the integrity of the lovely ingredients to truly shine

Tomato, Red Tuna Sashimi, Sliced Turnip and Coriander

Sweet and succulent ripe heirloom tomato with deliciously fatty tuna. A refreshing start to the meal.

Roasted Eggplant with Wild Mushrooms, Basque Jambon, Pickles, Figs, Nuts & Parsely Paste

A nicely balanced dish- bitter eggplant, salty ham, briny pickles, and sweet figs with a fabulous crunch from the nuts. Light and invigorating.

Cod with the Oil from Grape Seeds, Italian White Ham, Fresh Beans with a Potato & Ham Broth

While I cannot recall the variety of the beans, they had an unmistakable vegetal flavour which was very pleasant with the salty warm broth. The fish, while very simple, was ever so gently cooked, and merely melted on the tongue.

Guinea Fowl with Fried Guinea Fowl Egg, White Beans, Artichokes and Seaweed

Even when fatty meat and fried eggs are involved, the dishes at Septime feel virtuous. The skin on the fowl was beautifully crispy and just screamed for a bath in dreamy egg yolk. My only criticism here would be that I found some of the fresh herbs and greenery on the plate a bit too dry and tough to eat.

Cautal and St. Nectaire Cheese

An added course to the Carte Blanche meal, the cautal has a flavour somewhat like aged cheddar, but with a more rubbery like texture. I much preferred the St. Nectaire which had a mild mushroomy flavour and a satin like texture. Lovely on their crusty bread.

Apricot Sorbet with Vanilla Ricotta Mousse

A mildly sweet sorbet that paired beautifully with the aromatic fluffy mousse. It was a shame we only got one!

Rhubarb Compote with Red Fruit Sorbet, Shortbread & Sour Cream

In contrast with the pre-dessert, this one had a much more intense flavour profile. The rhubarb was tangy and bright, and the sorbet was gorgeously sweet. Absolutely scrumptious, I could have licked the bowl.

Closing Remarks:
-For two Carte Blanche with a comped shared cheese course (because of the misunderstanding over the dessert portions), as well as 2 glasses of sparkling and a bottle of wine, the bill came to €178 ($245 Canadian). Not cheap, no, but quite reasonable for a tasting menu and more than a full bottle of wine.
-The meal as a whole was quite refreshing and the service (despite the miscommunication), was exactly what I was craving.
-Assuming I could get a reservation, if I lived in Paris, this is the kind of place I would probably frequent often- perfect for continuing to fit into my pants while simultaneously feeling indulged",Date of visit: September 2013,6  ,4
First night in Paris and we hit the bulls-eye.,Eli B,,"Reviewed January 12, 2014 ","Now this is my style of eats in a setting redolent with warmth and modernity, and uncompromising table service and pricing. if you are obsessing over pedigreed ingredients on small plates and love rustic-urban surroundings with food lovers...than you have struck gold.
We tried the 55 euro carte blanche menu as our first- night- in- Paris treat . the veal au lait with salty trout eggs did it for me,while Madame went ape over tender pan-seared squid drizzled in peppery oil. Then the big-hitter arrived..... slow cooked pork with cabbage and anchovy cream. Absolute magic.
Finished with a fromage blanc ice cream on pumpkin puree. Bravo! we are in Paris",Date of visit: March 2013,3  ,5
"always fresh, inventive and delightful",tansyliverwort,44 reviews,"Reviewed December 30, 2013 ",,Date of visit: December 2013,,5
Go With An Open Mind,Nefelokokigia,,"Reviewed November 27, 2013 ","The room is completely spare, with off white walls, second hand store furnishings, and a young and hip waitstaff. The tables are well placed for a touch of privacy (at least compared to most Paris restaurants). It is very difficult getting a reservation here, so call two months in advance. That being said, when we arrived at 7:30, the place was nearly empty. We were sat at the only two bar seats, and I asked if we could have a table, and they said no, they were all reserved. A half dozen couples walked in looking for a table, and were all turned away. They seem to want to take things at their own pace. The place did fill up eventually. The wine list is small, but with very good producers; all organic. The menu is Chef's Choice, though they do ask for allergies and foods that you just don't like. There are two apps, a fish, a meat, a pre desert, and a desert. All the dishes were excellent, balanced, flavorful, and healthy. All very clean, not oily. The service is relaxed and efficient, though we did need to remind them each time were were finished with our courses, and ask them to clear. Also, you must keep your knife and fork for the duration of the meal, and must just lay them on top of the table, which seemed a bit too relaxed for us. Definitely worth the effort to dine here.",Date of visit: November 2013,1  ,4
Just go with the flow,antriaboutiquelodge,,"Reviewed November 14, 2013 ","We worked hard to get a table at Septime in the end getting a local to book for us but it was worth it. You have the Chef choice menu so great to be taken out of your comfort zone as you have no control over what you may get. We asked for matching wine which was a great thing to do as again the wine was not always what you may have chosen. This was our last night in France after 5 weeks so a great end to a great trip/adventure.
It was hard to get a table but do anything you can to get one as it is a great experience and one we will repeat when we return to Paris.
Go with an open mind an you will have a great experience.",Date of visit: October 2013,1  ,5
Lovely place for lunch,kateoz,,"Reviewed November 11, 2013 ","I tried for weeks before my trip to make a lunch reservation, but wasn't successful. Turning up on a Wednesday at 12.15pm, I was offered one of the two seats at the bar. (That's not two available seats; there are ONLY two seats at the bar.) Happily accepted it and saw many people without reservations be turned away.
The service is very, very good and particularly friendly for Paris. I speak French but noticed all the staff spoke English. The diners were mixed between visiting tourists and locals. The decor is a little rustic/modern, quite casual.
You are offered the choice of a three course menu or chef's menu of 5 courses. I chose the 3 courses and ate veal tartare with beets; fish with olives, chickpeas and zucchini; and a pear crumble that was served as poached pear, homemade vanilla ice cream and crumble pieces at the bottom of the dish. All ingredients were super fresh and delicious. Very good flavors combined.
There isn't a full bar, but they offer their own take on a G&T as a cocktail. It was deliciously fresh. All up, including the G&T, a glass of wine, food and coffee, the bill came to 42 Euro, which I thought was extremely good value.
I would highly recommend.",Date of visit: October 2013,,4
HIGE EXPECTATIONS,JNBCPT,,"Reviewed November 1, 2013 ","After reading many of the reviews here and recommendations on other websites, we decided to celebrate a special occasion in this restaurant.

Reserving a table was not easy . We therefore tried another approach and just stepped in. Staff was very welcoming and tried very hard to accommodate us. eventually, we got a table for dinner.

The restaurant decor is fairly basic but very stylish.
Service is impecable.
Atmosphere was quite formal.

We opt for the 58 euro surprise menu (two starers, main - fish, main - meat, and dessert) which was interesting.
First two dishes (starters) were fantastic. Mains were good, desert was fine.

We expected more, both in food and in atmosphere, perhaps had to high of expectations.",Date of visit: October 2013,,3
"Quirky, but not at all bad",Tony R,,"Reviewed October 31, 2013 ","Septime is really a very nice restaurant that serves meals that are a little out of the ordinary. Located on a busy street, the restaurant features tables constructed from old wood taken from railway carriages - there's no danger that anything will harm these tables! The menu is limited and features just a few choices of starters, mains, and desserts. Alternatively, you can ask the chef to prepare a meal for you - but everyone at the table has to eat the same dishes. Everything we had was very good with particular favorites being a chestnut, mushroom, and cheese starter followed by slow-roasted belly of pork. A new twist on apple crumble where the crumble is on the bottom topped with apple puree and some excellent ice cream completed the meal. Definitely worth trying - if you can get a table.",Date of visit: October 2013,1  ,5
Delicious and interesting food,Rhonda B,21 reviews,"Reviewed October 23, 2013 ","You have to be quick off the mark to get a booking at Septime 3 weeks in advance, but is worth the effort. The food was interesting, innovative and tasty. Service friendly and attentive and overall, reasonable value for money.",Date of visit: October 2013,,5
Septime Cave - great wine bar,Claire O,,"Reviewed October 20, 2013 ","I've never eaten at Septime restaurant. I've heard wonderful things but it's frankly outside my price range. I recently found the gorgeous little cave that accompanies it and now I go there all the time. Nice wine, friendly servers, and small plates of cheese etc to nibble.",Date of visit: October 2013,3  ,5
Delicious lunch,jwobkk,783 reviews,"Reviewed October 19, 2013 ",Loved the lunch here.  Fresh and delicious food.  Fantastic wines by the bottle and glass.  Passionate service and an attractive setting.  Everything you look for in a great restaurant.,Date of visit: October 2013,,5
On the Mark,TCarrigan,14 reviews,"Reviewed October 10, 2013 ",,Date of visit: July 2013,1  ,5
A house divided,pen1,,"Reviewed October 2, 2013 ","I agree with Mark Bitman on one point about Septime. The food preparation and technique are excellent. Beyond that my wife agrees with Bitman in terms of the food. She would rate it 5 stars. I rate it three. My basic problem is I did not like anything on the fixed price lunch menu -content, taste. My wife on the other hand enjoyed her meal immensely. Her first course was a beet and fig salad, her main was skate wing with potatoes. Both of us had the desert of the day a compote of backed fig, raspberries and a dollar of herb infused ice cream. My first course was a whie fish civic he in celery broth with thin cucumber slices. My main was pork belly served with baby turnips.
She gives it a five, I give it a three. You'll likely need a reservation for lunch and certainly for dinner",Date of visit: October 2013,2  ,4
Fantastic experience,AandM2008,63 reviews,"Reviewed September 30, 2013 ",Lunch was a delight. Did not disappoint. Wine and drink pairings were lovely. A very special experience.,Date of visit: September 2013,1  ,5
Fabulous,Famtime123,,"Reviewed September 19, 2013 ","For the moment at least, this is a fabulous restaurant in paris! The atmosphere is that of a modern bistro with understated elegance and beautifully presented food. Fine, well coordinated flavours paired with wonderful wines from smaller less known, but excellent producers of france make for an evening well worth it!!",Date of visit: September 2013,,5
Delicious!,ClaraJ180,6 reviews,"Reviewed September 19, 2013 ","The squid appetizer was heavenly!  So was the lamb, butternut squash and the herbed ice cream. Would definitely recommend.",Date of visit: September 2013,1  ,4
Maladeeeeeeeeee :),trailofcrumbs15,152 reviews,"Reviewed September 17, 2013 ","Wow what a surprise. I have been to Le Chateaubriand a while back and was very disappointed. I thought Septime might be similar, but thank God, everything they served was just beautiful. Good service too! Make sure you book in advance to avoid disappointment.",Date of visit: September 2013,2  ,4
A real gastronomic trip,ThMoC,,"Reviewed September 14, 2013 ","Septime is this year's restaurant with ""buzz."" Another highly regarded young chef abandoned the star route of sous chef waiting patiently for the top job to strike out on his own away from the expensive center of town. Consequently, the ambiance, while interesting, is simple and plain. The emphasis is all on the food - which is a very good thing. The large team of chefs work busily in the open kitchen. They create interesting, very complex (sometimes overly so) dishes. The five course dinner changes daily. It's the same for all, except you are asked about allergies and food dislikes. The young staff is enthusiastic and engaging. They explain every dish in full detail, but there are so many moving parts it can be difficult to completely decrypt them. Still, most are both interesting and delicious. An example: Dessert (after the pre-dessert) was cucumber sorbet with raspberries and blackberries with a thin meringue containing black pepper flakes all in a rhubarb sauce. One is served a great deal of food, so go hungry.",Date of visit: September 2013,1  ,5
Lives up to the hype,rachelnyc60763,,"Reviewed September 11, 2013 ","This place is perpetually booked so reserve a few weeks in advance, it is well worth it. The menu changes daily and ingredients were all very fresh and seasonal. I had the tasting menu and everything from the perfectly prepared tuna to the crisp pork belly to the strawberry rhubarb dessert was delicious. I found the service to be excellent and appreciated the efforts to explain each course in detail in English (since my French is not great).",Date of visit: May 2013,1  ,5
Simple french cooking at its best,HappyFeet25,,"Reviewed September 8, 2013 ","I had the 3 course lunch for €28. Best value for money meal in Paris. I had a starter of white beans cooked with lard and served with slivers of raw octopus n crunchy seaweed. The taste was really light but beautifully cooked. The salty seaweed which burst in my mouth provides a nice surprise. For the main I had roast pork belly with a side of small salad. The pork was done very nicely n was still pink but it was thoroughly cooked, maintaining its moisture and leaving it tender. We know how pork can get dry if overcooked but this was not the case here. Again the cooking was simple but executed with excellence resulting in a sublime dish. Dessert was poached figs served with some shortbread crumble n a salty ice cream. This was so unlike the usual french dessert n again it was very enjoyable. Overall I like Septime alot as they use top grade ingredients, employ simple but well executed cooking methods to bring out the best flavours of each and every seasonal ingredients which the chef uses. It is definitely worth making the effort to get a reservation. By the way, sevice was friendly, deco was modern n airy and location is pretty convenient and handy for those who use the metro.",Date of visit: August 2013,,4
Wonderful,BrugesBricks,17 reviews,"Reviewed September 8, 2013 ",,Date of visit: September 2013,,5
Fantastic meal,H3117SXmikes,5 reviews,"Reviewed September 3, 2013 ",We loves the surprises that the chef brought us. The food was delicious and plenty of it. The sorbets were the best! The fish soup was incredible.,,,5
Well worth it.,NancyB38,,"Reviewed August 5, 2013 ","We were lucky enough to get a Friday lunch reservation at Septime (seriously, this involved calculating what day the Friday slots would come open and then pouncing on the on-line reservation site the minute that happened). We arrived at 1:30 to discover that the small spot was still full of the diners with earlier reservations, but we hung out at the bar and the wait was only 15 minutes or so. The service was friendly and efficient, with our waiter making excellent suggestions to go with the meal. The turbot cerviche, asparagus, and roast chicken were all excellent. It was rhubarb season, so the rhubarb compote was obligatory if a bit unadventurous, though the herb ice cream with it was yummy. All in all, our best meal in Paris this trip.
On the way out we saw the staff sitting with a wine supplier, tasting his latest offerings, which was a nice ""behind the scenes"" glimpse of the restaurant world.",Date of visit: June 2013,,5
Essential (if you can get a reservation),neilbontoft,,"Reviewed July 30, 2013 ","I've had foods of all shapes and standards and Septime is definitely up there with one of the best meals I've had. From arrival I felt relaxed and at home. I was sat with a great view of the kitchen and could see the brigade hard at work. As you will know they are offer a menu with only a tasting option and I was asked if I had allergies and then the fun began. Each course was a work of art and tasted as good as it looked. The service was faultless and well oiled. This was a thoroughly amazing experience and recommended very very highly, so much so that even purchased Bertrand Grébaut's book as a lasting memory",Date of visit: July 2013,,5
"Very good, not quite great",rumtytum,,"Reviewed July 21, 2013 ","Septime came toweringly recommended, almost impossible to get into. The reality is good, but not what the hype led us to expect. Quite simple food, nicely presented, expertly cooked. In a world that extends from McDonalds' sugary rubbish all the way to bistro predictability it's nice to have a meal that's pure class, served by charming people who believe in the excellence of the food that's coming out of the kitchen. The sommelier was expert, recommended a brilliant white grenache. We had a good time, but I don't think you should expect to be blown away. More reassured that it's possible to eat very well indeed without paying the earth.",Date of visit: June 2013,,4
Amazing tasting menu in the 11th,bccorb,,"Reviewed July 17, 2013 ","I found out about this place from an article in the New York Times so always worry that will cause restaurant to be overrun with other tourists and/or have gone downhill due to that overrun. I need not have worried as though there were other tourist including a couple from Australia sitting next to us the out of way location(in the 11th) have kept both of those from happening.

The food was amazing as though there is no menu they do take allergies and preferences into account. My girlfriend does not like raw food so they nicely seared the tuna for the first course and added some whole tomatoes to freshen up the dish that it would not get from the citrus in the raw fish. Service was amazing as they tried to look up what the English word for one of the fish they were serving(it ended up being Whiting which is merlan in French). The desserts were good but kind of throw aways in comparison to the amazing food during the first four courses as got two different type of ice cream with some extra thown in.

When I return to Paris I will have to decide whether to come here or to Pierre Sang's first. Since this place does take reservations will likely have that be my decision maker.

One last feature I liked is that it has a proper bar so can get a drink inside while wait for table. Most of the restaurants in Paris I went to one had to just sit out in the street with your drink.",Date of visit: July 2013,1  ,5
delightful lunch,LittleHunter,,"Reviewed June 26, 2013 ","We booked in advance and had a wonderful lunch here today. If you're going with someone who doesn't mind giving you a taste of their food and vice versa, then I recommend the 3 course prix-fixe as opposed to the 5 courses where you get no choice and the kitchen surprises you. The reason is this: my boyfriend and I got the 3 courses and we observed that everyone around us who got the 5 got the exact same dishes as us - no ""surprises."" Just MORE of what we had already tasted, having each chosen different options in the set menu. Just a tip. The service is efficient and friendly, though it's more on the efficient side since Septime is such a destination now. Don't miss looking at the wonderful garden in the back.",Date of visit: June 2013,1  ,4
15th wedding anniversary meal,Stephen W,,"Reviewed June 24, 2013 ","My goal was to invite my French wife to this neighbourhood hotspot on the 13th of June, our anniversary date, for dinner. This being a very tough table to reserve we had to settle for lunch on the 18th. That was the only negative part of the experience.

Septime takes simple ingredients and presents them in a beautiful and amazingly tasteful way. The menu the day we ate lunch was Summer-light and undeniably delicious. The service was excellent without being cloying and the décor of this restaurant is gorgeously understated. Do not miss a peek out the back door on the way to the washroom to see a beautifully designed green garden in the back yard. A reasonably priced lunch (for Paris) when you consider the quality of the food and service! Highly recommended! We will return.",Date of visit: June 2013,1  ,5
Just the kind of food you like to eat and just the type of restaurant you like to eat in,pcouture29,,"Reviewed June 20, 2013 ","Despite now being rated one of the best restaurants in the world Septime is an easy going place where you do not need to dress especially well. I recommend dressing your usual stylish way and you'll be okay. Reservations are made on the website and I did not find it difficult to book. Just keep checking, though not obsessively. The restaurant is always full and you're going to be close to other customers but not packed too tight. Service spoke English well enough and they were professional, timel, and make you feel welcome. The wine is affordable and seems well considered, and the fixed price menu (mandatory, changes daily) is a fair value given the quality of the food and preparation. This is food to savor. A fresh wide variety of premier ingredients with deep tastes. Nothing especially fancy but certainly not boring bistro, and that's good and expected in a setting like this, which could be in Brooklyn or Chicago's west loop. With that said, the plates are better than at comparably priced restaurants except possibly Bones. My only caveats were that the vegetables were sometimes on the salty side, the lamb was not convincing, and the espresso I recommend staying away from entirely. (Disclaimer: I do not like lamb but thought Bertrand Grébaut might convince me of my error.) Otherwise, and there was a lot of otherwise, this was an enjoyable experience and the kind of restaurant you wish was in your neighborhood. You leave feeling good. Simple as that.",Date of visit: June 2013,1  ,4
Like a warm hug,gridskipper212,5 reviews,"Reviewed June 20, 2013 ",,Date of visit: May 2013,,5
A Hot New Restaurant,mjmack08,,"Reviewed June 8, 2013 ","We have just discovered Septime, and (if we can ever manage to get reservations again) intend to return. Very popular--so much so that many simply have given up on getting dinner reservations and go for lunch, which is also a great option, depending on your schedule. A little more expensive than what we usually pay for dinner (55 Euros for a 5-course menu), but worth every centime. Exciting food, attentive service. This is a chef, and restaurant, worth watching.",Date of visit: May 2013,1  ,5
Excellent atmosphere and cuisine,Cheryl094,,"Reviewed June 6, 2013 ","Septime doesn't look like anything special from the outside, but inside is quite tastefully decorated and is a nice change from other restaurants of its caliber. We waited three weeks for a lunch reservation but once there, we enjoyed the entire experience and the pricing is extremely reasonable for what you have. Original wine lists, nice presentation and flavors, attentive staff and relaxed atmosphere. Wonderful choices at lunch that suit those who are either adventurous or conservative with food. There is nothing quite like it in Paris.",Date of visit: May 2013,,5
Absolutely amazing lunch,DCMundo,,"Reviewed June 4, 2013 ","My partner and I were very fortunate when a fellow guest at our hotel offered us a reservation at Septime they had made a month in advance, but could not use because of other commitments. This was one of the top two meals in a week of outstanding wining and dining in Paris. The interior is simple and almost rustic, but elegant. The staff are very friendly and more attentive than average for France. They explain and describe each dish as it's presented, but in a subtle and non-intrusive way. The entree, white asparagus with caviar and wild flowers, was one of the single best dishes I ever ate. The menu formule was very reasonable for three courses and the waiter suggested the perfect wine pairings by the glass (also inexpensive).",Date of visit: May 2013,1  ,5
Our great lazy lunch in Paris,Travel_Addicts97,,"Reviewed May 30, 2013 ","We reserved our table 4 weeks in advance and had high hopes for our lunch at Septime....we weren't disappointed. From the moment we arrived, staff were friendly and happy to help despite our limited French (staff explained/described everything in English). We chose the three course set menu and found each dish delicious, fresh and well presented. The waiter also recommended various wines for us for each course and all were excellent. At €28 for 3 courses the meal was very cheap for the quality, albeit by the time we had 4 wines each the bill was around €110. All up, we had a fantastic experience at Septime and would return without hesitation next time we are in Paris.",Date of visit: May 2013,1  ,5
Creative cuisine in retro trendy decor,GlobetrottingSwede,,"Reviewed May 29, 2013 ","Patrons are a blend of French and anglos who must have heard about this place. Open kitchen where you you can see the young crew working (struggling a bit to keep the pace during rush hour)You cannot be in a hurry when eating here, but on the other hand it is nice to see that all the dishes are prepared to order, which is becoming increasingly rare, even in France

(note for French people: this restaurant does NOT accept tickets restaurant, so obviously they prefer foreigners. Must be better for business...)",Date of visit: May 2013,,3
Healthy and different,kattisH,,"Reviewed May 28, 2013 ",We tried a five course menu that was delicious and with vegetables that are in season like baby artichokes and asparagus. The restaurant is quite small but a little bit too noisy. The kitchen is open so you can see the chefs preparing the food. The food tasted wonderful and the whole meal felt healthy and creative. Remember you have to book a table at least two weeks in advance.,Date of visit: May 2013,,4
Pleasant but didn't meet expectations,kykismet,,"Reviewed May 25, 2013 ","I think the food writers have to be careful and not hype a place too much. We had a pleasant meal there and the staff was good. Overall an above-average experience. However, since we had heard such rave about the food, etc. we had high expectations which were not quite met. The food was beautifully presented but tends to be on the bland side. The fish and the chicken were just barely done; I am assuming that was intentional. The salmon tartare with chèvre was a winner. I think the restaurant was still worth trying.",Date of visit: May 2013,2  ,3
Not a 5 Star,Belinda I,,"Reviewed May 24, 2013 ","Sorry to say , after my husband made reservations 6 weeks in advance to our trip to Paris.
Arriving they wanted to seat us at the front table by the door & bar under a speaker playing loud music.( restaurant was empty) We were expecting a guest ( from London ) to join us ,so I said ""Can we see another table please""?he pointed to a table for 2 and said he would
Add a chair, again I politely said Do you have another table? ( place was empty)Finally I just pointed to a table and with his
Frustrated look ...said Oui. Our Guest arrives and we ordered each a glass of Champagne , no bubbles and warm...
I would tell you about the food but the whole ""Septime"" experience went downhill from there...From the raw tasteless veal
Starter, and as I said I wanted ""the experience"" to be about the food ...but honestly I can't remember anything after the starter ....might have been because we had so many different waiters they forgot to even tell us What we were eating?
We won't be going back...",Date of visit: May 2013,5  ,1
A superb dining experience,Ken R,10 reviews,"Reviewed May 14, 2013 ",,Date of visit: May 2013,,5
Live worm crawling in my merlu,loveParis_France,,"Reviewed May 9, 2013 ","There was a live, and probably parasitic, worm crawling around in my merlu (hake fish). It was absolutely repulsive. I was told that it was because the fish is fresh. Judge for yourselves but I have never in my life found a worm in any type of fresh fish that I have eaten. ",Date of visit: May 2013,13  ,1
Just go!,MarieR770,24 reviews,"Reviewed April 30, 2013 ",What a great experience. The food was sublime with the flavours well balanced. We had a bottle of red wine suggested by the sommelier which was to die for. And the service was top notch.,Date of visit: April 2013,,5
Pretentious and expensive,Kora A,1 review,"Reviewed April 30, 2013 ","Very little plates, pretentious dishes, pretentious cook, everybody left the restaurant being hungry (if not for the bread they keep serving to fill us up).",Date of visit: April 2013,1  ,1
Loved it!,Vznj,,"Reviewed April 26, 2013 ","So happy I read in the NY Times, Mark Bittman's ""Strolling in Paris"", because we had an exquisite lunch at Septime this April. The food was excellent and prepared to perfection. The menu was well paced allowing you to savor the food and enjoy the beautiful Ambiance. The room was elegant, bright and cheery for lunch. The service was spot on and the young professional staff did their best to make our experience a memorable one! Highly recommend!",Date of visit: April 2013,,5
New favourite,Monika D,81 reviews,"Reviewed April 12, 2013 ","Had lunch at Septime twice. Love the interior, the food, the atmosphere, the secret garden behind the building, the lovely service, devoted customers. 

Looking forward to get back!",Date of visit: September 2012,1  ,5
Delightful experience,JessTsui,,"Reviewed April 4, 2013 ",My friend recommended this restaurant to me when she knew I was going to Paris. I checked out their website and was lucky enough to book a table for lunch on the birthday of my best friend & travel buddy. Nice environment and friendly (and very good looking) staff. Beautifully presented dishes made with fresh ingredients – I think it’s pretty safe to say it was the best meal I had in Paris! Definitely a must go place!,Date of visit: October 2012,,5
Awsome!!!,hyvli,4 reviews,"Reviewed March 14, 2013 ","Excellent restaurant for people who wants to eat modern french food for a good price (5 course for 55 euro). It's perfect for young people since it's pretty small, dark and not ""dressed up"".",Date of visit: March 2013,1  ,5
an experience,GerardoM946,100 reviews,"Reviewed February 22, 2013 ","at this restaurant you don't choose the menu. It's a fixed price fixed 5 courses dinner.two appetizers, two entrees and a dessert. It was a wonderfull experience. Very difficult to get a reservation.",Date of visit: February 2013,,5
Our lunch was inventive and delicious,santosdiego,116 reviews,"Reviewed February 15, 2013 ",,Date of visit: January 2013,2  ,5
Everyday ingredients become high art.,buddahbaker,,"Reviewed January 24, 2013 ","Do go here to experience trendy neo-bistro cuisine in a stark, cool room, featuring industrial lighting, cement floors, rough-hewn barn board tables and bar. At our 9 pm sitting, the full room sends the noise decibels over the top, as the sounds of happy diners and the open kitchen heighten by the minute. Service from our waiter/sommelier is remarkable throughout the entire evening. He speaks perfect English, and explains to us that we will receive a five course surprise menu. We choose a glass of champagne to start and select our own wine, rather than the wine pairing option. Not knowing what we will be eating makes ordering wine a guessing game, so he redirects our selection of a Bourgogne to a Beajolais cru.

Chef Bertrand Grébaut's cuisine is a celebration of seasonal vegetables, conceptualized and composed into small courses that satisfy all the senses. There are no luxe ingredients, in fact, very little protein, save for some lardo shavings over braised endive, an egg with parsley sauce, and main course before dessert is a slice of chicken breast, brazenly cooked rosy, with salsify and hay-smoked potato. Every course was thoughtful, creative and well executed. However, the most memorable, lasting impression was the bread ice cream served with honey caramelized apple with a rum sabayon. I was able to meet the pastry chef at the end of the evening, and she told me how she makes it. This bread ice cream was amazing - malty and creamy.

Overall, a great experience was had, but was it good value? At 55 euro per person, maybe not. I was expecting a little more, maybe some fish, or other protein. It seemed alot for mainly vegetables and chicken breast.",Date of visit: December 2012,1  ,4
A great place in Paris by night...,Marielike,,"Reviewed January 23, 2013 ","Perfect area, trendy..Cool place and very good food.
The only not so perfect detail is that being so good , it is crowded so you need to book well in advance, which to me is nightmare. But , late, you can always try to show up and get a table...chance.
Anyhow you will love it so it is worth waiting....
Enjoy",Date of visit: January 2013,1  ,4
Great food but overhyped,Jesu I,,"Reviewed December 29, 2012 ","I booked my regular three weeks ahead to get a table in this nearby restaurant and i did not regret it. The food is delicioud, dishes are original and definitely fresh. I love habing no choice with the menu. it´s prix fixed, plenty of courses and full of surprises. Cannot deny it is a few notches above regular eateries and bistros i go to. If you can get a table and want to experience real food in a beautiful west village kind of setting you should go.
However you can find simimar food without booking that far in advance, that´s why i probably won ´t go anymore.
One glitch though, they made the bottle of water fall onto my glass of wine, totally soaked off my suit and still made me pay for the wine, maybe i was supposed to drink it off my suit...",,1  ,4
"a gem, expected yet a gem",Pierre D,,"Reviewed December 28, 2012 ","Hard to book, you must call 3 weeks in advance at 10 am sharp
Hard to find, in a well known gastronomy street but the outside does not sell the place
Inside look could be scary, rough, noisy and almost unconfortable
but the food... unexepcted, unconventional, and unexepnsive at that level. It has been the talk of town for quite some time and is totally justified !

If you can get a table... run, with your best friends only",Date of visit: December 2012,,5
5* - would recommend Septime to anyone!,zoe o,,"Reviewed December 27, 2012 ",We were very impressed with the food and services and I would recommend this restaurant to anyone visiting Paris. The food was exquisite and the location and service was warm and friendly. One of the best restaurants I have eaten in. I will be eating here again if I returned to Paris.,Date of visit: December 2012,,5
9.21pm.,Joshua T,2 reviews,"Reviewed December 17, 2012 ","Exquisite meal with seriously good food. Amazing! Thanks, trip advisor. We knew we were onto something good when u do not decide the menu. The starters were fantastic and the cod just melted in our mouth. Need i say more?",,,4
Good place,NYCmonami,,"Reviewed December 14, 2012 ","Reserved three weeks prior thru its website. Small space but enough space between tables and they didnt double booked the lunch so by the time we started eating at 1:30 tables next to us left so we had more space. Staff were friendly and spoke some english but too busy. Surprised that there was no amuse bouche but food came out quickly. We had oystr and mushroom fir entrees and quail and haddock fir plats and two types of cheese and ice cream dessert. Plats were very good , entrees decent and dessert was ok. Not sure how san pellegrino ranked this place 87th best restaurant in the world. It felt more like a tiny modern american bistro in soho nyc. Would go back if this place was in nyc but stay away if i go back to paris since there are so many great places with reasonable value. ",,,3
